ALTRNHM,377026,387931
HUNCOAT,377190,430660
NAVGTNR,377261,388782
ASHLEY,377370,384370
INVURIE,377580,821800
SWNT,377720,402070
MOBERLY,377875,381410
ECCLES,377900,398790
BRDNML,377918,564486
MORETON,377960,89090
MLVRNLK,378223,247510
GOOSTRY,378300,369550
GTMLVRN,378300,245700
HMPHRYP,378346,395102
FROME,378450,147610
GARSDLE,378870,491810
FRESHFD,379130,160370
HAPTON,379215,431745
CLTN,379230,402915
TRFDPK,379470,395385
COSFORD,379780,305275
ALSAGER,380070,355130
GGLSWCK,380275,462915
HTNRIBL,380370,472660
AVNCLFF,380500,160100
MNCRUFG,380800,396200
STNHSE,380800,205280
GLHM,380980,126110
CHELFD,381385,374850
ROSG,381465,432245
SETTLE,381726,463478
SLFDCT,381800,398910
ALBRGHT,381900,304500
MNCRIAP,381932,385387
BRDFDOA,382522,160678
BURNLYB,383095,432760
SLFDORD,383186,398515
LPRESTN,383350,457900
MNCRDGT,383434,397524
GLOSTER,383675,218580
BURNMR,383700,432100
KIDSGRV,383700,354400
KDRMNST,383866,276299
BURNLYC,383960,433050
MNCRVIC,384000,399000
MNCROXR,384035,397505
STYAL,384090,383520
HYDB,384250,564535
ALDEDGE,384317,378563
HLDG,384350,385865
WOOL,384450,86910
BRIERFL,384530,436438
GATLEY,384720,388477
MNCRPIC,384772,397873
STRUD,384950,205125
WORCSFS,384950,255235
WLMSL,385023,381127
HBRY,385030,270735
TRWBRDG,385160,157880
HELIFLD,385166,457229
EDIDBRY,385340,390300
DILTONM,385585,150000
LNGP,385585,349423
BAGE,385764,391618
WORCSSH,385783,255186
HNDFRTH,385875,383310
ARDWICK,385900,397200
NLSN,386030,437660
MLDTHRD,386195,392940
WSTBRYW,386200,152000
SHVN,386400,786200
CODSALL,386440,303300
ASHBRYS,387191,397229
CONGLTN,387220,362320
NTNB,387270,329930
LVHM,387300,394172
BILBROK,387500,302900
CHDH,387570,386580
WRMNSTR,387750,145300
STOKEOT,387953,345645
BLAKEDN,388065,278725
BLLVUE,388113,396196
COLNE,388135,439850
HTCP,388200,392100
CSTL,388300,410600
DYCE,388480,812780
RYDRBRW,388604,395550
WEDGWD,388620,339310
MLSHILL,388734,406089
MSTN,388759,402986
BARLSTN,388800,338400
GORTON,389064,396939
BMHL,389210,384872
STKP,389260,389870
DRTWCHS,389290,263350
REDISHS,389550,393250
STONE,389670,334555
REDISHN,389720,394750
DAVNPRT,389925,388240
RCHDALE,389940,412650
MELKSHM,390040,164540
HAGLEY,390140,280510
PSBY,390400,377390
FRFD,390421,397183
STRBDGT,390460,284190
WMOR,390647,387746
LNTN,390900,343633
STRBDG1,390998,283295
STRBDGJ,391000,283300
BRNGTN,391120,392823
POYNTON,391150,383730
ADLC,391200,380300
DNTON,391355,395576
STAFFRD,391870,322933
WARHAM,391956,88144
MACLSFD,391960,373600
HAZL,391980,386750
WVRMPTN,392000,298900
PNKRDG,392040,313990
CHIPNHM,392080,173730
LYEE,392220,284670
PLTH,392420,796710
GIDB,392550,397550
